Municipality,Municipal status ,Geographic area 
"<a title=""Addington Highlands, Township of"" href=""http://www.addingtonhighlands.ca/"">Addington Highlands, Township of</a>",Lower Tier,Lennox and Addington
"<a title=""Adelaide-Metcalfe, Township of"" href=""http://www.adelaidemetcalfe.on.ca/siteengine/activepage.asp"">Adelaide-Metcalfe, Township of</a>",Lower Tier,Middlesex
"<a title=""Adjala-Tosorontio, Township of"" href=""http://www.townshipadjtos.on.ca/index.htm"">Adjala-Tosorontio, Township of</a>",Lower Tier,Simcoe
"<a title=""Admaston/Bromley, Township of"" href=""http://www.admastonbromley.com/"">Admaston/Bromley, Township of</a>",Lower Tier,Renfrew
"<a title=""Ajax, Town of"" href=""http://www.ajax.ca/en/"">Ajax, Town of</a>",Lower Tier,Durham
"<a title=""Alberton, Township of"" href=""http://www.alberton.ca/"">Alberton, Township of</a>",Single Tier,Rainy River
"<a title=""Alfred and Plantagenet, Township of"" href=""http://www.alfred-plantagenet.com/en"">Alfred and Plantagenet, Township of</a>",Lower Tier,Prescott and Russell
"<a title=""Algonquin Highlands, Township of"" href=""http://www.algonquinhighlands.ca/"">Algonquin Highlands, Township of</a>",Lower Tier,Haliburton
"<a title=""Alnwick/Haldimand, Township of"" href=""http://www.alnwickhaldimand.ca/"">Alnwick/Haldimand, Township of</a>",Lower Tier,Northumberland
"<a title=""Amaranth, Township of"" href=""http://www.amaranth-eastgary.ca/ta/a_home.htm"">Amaranth, Township of</a>",Lower Tier,Dufferin
"<a title=""Amherstburg, Town of"" href=""http://www.amherstburg.ca/"">Amherstburg, Town of</a>",Lower Tier,Essex
"<a title=""Armour, Township of"" href=""http://www.armourtownship.ca/"">Armour, Township of</a>",Single Tier,Parry Sound
"<a title=""Armstrong, Township of"" href=""http://www.armstrongtownship.com/"">Armstrong, Township of</a>",Single Tier,Timiskaming
"<a title=""Arnprior, Town of"" href=""http://www.arnprior.ca/"">Arnprior, Town of</a>",Lower Tier,Renfrew
"<a title=""Arran-Elderslie, Municipality of"" href=""http://www.arran-elderslie.com/"">Arran-Elderslie, Municipality of</a>",Lower Tier,Bruce
"<a title=""Ashfield-Colborne-Wawanosh, Township of"" href=""http://www.acwtownship.ca/"">Ashfield-Colborne-Wawanosh, Township of</a>",Lower Tier,Huron
"<a title=""Asphodel-Norwood, Township of"" href=""http://www.asphodelnorwood.com/"">Asphodel-Norwood, Township of</a>",Lower Tier,Peterborough
"<a title=""Assiginack, Township of"" href=""http://www.assiginack.ca/"">Assiginack, Township of</a>",Single Tier,Manitoulin
"<a title=""Athens, Township of"" href=""http://www.athenstownship.ca/"">Athens, Township of</a>",Lower Tier,Leeds and Grenville
"<a title=""Atikokan, Town of"" href=""http://www.atikokan.ca/siteengine/activepage.asp"">Atikokan, Town of</a>",Single Tier,Rainy River
"<a title=""Augusta, Township of"" href=""http://www.augusta.ca/"">Augusta, Township of</a>",Lower Tier,Leeds and Grenville
"<a title=""Aurora, Town of"" href=""http://www.town.aurora.on.ca/aurora/index_e.aspx?ArticleID=3"">Aurora, Town of</a>",Lower Tier,York
"<a title=""Aylmer, Town of"" href=""http://www.aylmer.ca/"">Aylmer, Town of</a>",Lower Tier,Elgin
"<a title=""Baldwin, Township of"" href=""http://www.townshipofbaldwin.ca/"">Baldwin, Township of</a>",Single Tier,Sudbury
"<a title=""Bancroft, Town of"" href=""http://www.bancroft.ca/"">Bancroft, Town of</a>",Lower Tier,Hastings
"<a title=""Barrie, City of"" href=""http://www.barrie.ca/Pages/default.aspx"">Barrie, City of</a>",Single Tier,Simcoe
"<a title=""Bayham, Municipality of"" href=""http://www.bayham.on.ca/siteengine/activepage.asp"">Bayham, Municipality of</a>",Lower Tier,Elgin
"<a title=""Beckwith, Township of"" href=""http://www.twp.beckwith.on.ca/"">Beckwith, Township of</a>",Lower Tier,Lanark
"<a title=""Belleville, City of"" href=""http://www.belleville.ca/"">Belleville, City of</a>",Single Tier,Hastings
"<a title=""Billings, Township of"" href=""http://www.billingstwp.ca/"">Billings, Township of</a>",Single Tier,Manitoulin
"<a title=""Black River-Matheson, Township of"" href=""http://www.blackriver-matheson.com/"">Black River-Matheson, Township of</a>",Single Tier,Cochrane
"<a title=""Blandford-Blenheim, Township of"" href=""http://www.blandfordblenheim.ca/"">Blandford-Blenheim, Township of</a>",Lower Tier,Oxford
"<a title=""Blind River, Town of"" href=""http://www.blindriver.com/site/welcome/"">Blind River, Town of</a>",Single Tier,Algoma
"<a title=""Bluewater, Municipality of"" href=""http://www.town.bluewater.on.ca/"">Bluewater, Municipality of</a>",Lower Tier,Huron
"<a title=""Bonfield, Township of"" href=""http://www.ebonfield.org/"">Bonfield, Township of</a>",Single Tier,Nipissing
"<a title=""Bonnechere Valley, Township of"" href=""http://www.bonnecherevalleytwp.com/"">Bonnechere Valley, Township of</a>",Lower Tier,Renfrew
"<a title=""Bracebridge, Town of"" href=""http://www.bracebridge.ca/"">Bracebridge, Town of</a>",Lower Tier,Muskoka
"<a title=""Bradford West Gwillimbury, Town of"" href=""http://www.town.bradfordwestgwillimbury.on.ca/"">Bradford West Gwillimbury, Town of</a>",Lower Tier,Simcoe
"<a title=""Brampton, City of"" href=""http://www.brampton.ca/en/pages/welcome.aspx"">Brampton, City of</a>",Lower Tier,Peel
"<a title=""Brant, County of"" href=""http://www.brant.ca/"">Brant, County of</a>",Single Tier,Brant
"<a title=""Brantford, City of"" href=""http://www.brantford.ca/Pages/default.aspx"">Brantford, City of</a>",Single Tier,Brant
"<a title=""Brethour, Township of""></a>Brethour, Township of",Single Tier,Timiskaming
"<a title=""Brighton, Municipality of"" href=""http://www.brighton.ca/"">Brighton, Municipality of</a>",Lower Tier,Northumberland
"<a title=""Brock, Township of"" href=""http://townshipofbrock.ca/"">Brock, Township of</a>",Lower Tier,Durham
"<a title=""Brockton, Municipality of"" href=""http://www.brockton.ca/"">Brockton, Municipality of</a>",Lower Tier,Bruce
"<a title=""Brockville, City of"" href=""http://www.brockville.com/"">Brockville, City of</a>",Single Tier,Leeds and Grenville
"<a title=""Brooke-Alvinston, Municipality of"" href=""http://brookealvinston.com/home/"">Brooke-Alvinston, Municipality of</a>",Lower Tier,Lambton
"<a title=""Bruce, County of"" href=""http://www.brucecounty.on.ca/"">Bruce, County of</a>",Upper Tier,Bruce
"<a title=""Bruce Mines, Town of"" href=""http://www.brucemines.ca/"">Bruce Mines, Town of</a>",Single Tier,Algoma
"<a title=""Brudenell, Lyndoch and Raglan, Township of"" href=""http://www.blrtownship.ca/"">Brudenell, Lyndoch and Raglan, Township of</a>",Lower Tier,Renfrew
"<a title=""Burk's Falls, Village of"" href=""http://www.burksfalls.net/"">Burk's Falls, Village of</a>",Single Tier,Parry Sound
"<a title=""Burlington, City of"" href=""http://cms.burlington.ca/site4.aspx"">Burlington, City of</a>",Lower Tier,Halton
"<a title=""Burpee and Mills, Township of"" href=""http://www.burpeemills.com/"">Burpee and Mills, Township of</a>",Single Tier,Manitoulin
"<a title=""Caledon, Town of"" href=""http://www.town.caledon.on.ca/"">Caledon, Town of</a>",Lower Tier,Peel
"<a title=""Callander, Municipality of"" href=""http://mycallander.ca/"">Callander, Municipality of</a>",Single Tier,Parry Sound
"<a title=""Calvin, Municipality of"" href=""http://www.calvintownship.ca/"">Calvin, Municipality of</a>",Single Tier,Nipissing
"<a title=""Cambridge, City of"" href=""http://www.cambridge.ca/"">Cambridge, City of</a>",Lower Tier,Waterloo
"<a title=""Carleton Place, Town of"" href=""http://www.carletonplace.ca/"">Carleton Place, Town of</a>",Lower Tier,Lanark
"<a title=""Carling, Township of"" href=""http://www.carlingtownship.ca/"">Carling, Township of</a>",Single Tier,Parry Sound
"<a title=""Carlow/Mayo, Township of"" href=""http://www.carlowmayo.ca/"">Carlow/Mayo, Township of</a>",Lower Tier,Hastings
"<a title=""Casey, Township of"" href=""http://www.harley.ca/casey/"">Casey, Township of</a>",Single Tier,Timiskaming
"<a title=""Casselman, Municipality of"" href=""http://www.en.casselman.ca/"">Casselman, Municipality of</a>",Lower Tier,Prescott and Russell
"<a title=""Cavan Monaghan, Township of"" href=""http://www.cavanmonaghan.net/siteengine/activepage.asp"">Cavan Monaghan, Township of</a>",Lower Tier,Peterborough
"<a title=""Central Elgin, Municipality of"" href=""http://www.centralelgin.org/siteengine/activepage.asp"">Central Elgin, Municipality of</a>",Lower Tier,Elgin
"<a title=""Central Frontenac, Township of"" href=""http://www.centralfrontenac.com/"">Central Frontenac, Township of</a>",Lower Tier,Frontenac
"<a title=""Central Huron, Municipality of"" href=""http://www.centralhuron.com/"">Central Huron, Municipality of</a>",Lower Tier,Huron
"<a title=""Central Manitoulin, Municipality of"" href=""http://www.centralmanitoulin.ca/"">Central Manitoulin, Municipality of</a>",Single Tier,Manitoulin
"<a title=""Centre Hastings, Municipality of"" href=""http://www.centrehastings.com/"">Centre Hastings, Municipality of</a>",Lower Tier,Hastings
"<a title=""Centre Wellington, Township of"" href=""http://www.centrewellington.ca/default.aspx"">Centre Wellington, Township of</a>",Lower Tier,Wellington
"<a title=""Chamberlain, Township of"" href=""https://www.chamberlaintownship.com/"">Chamberlain, Township of</a>",Single Tier,Timiskaming
"<a title=""Champlain, Township of"" href=""http://www.champlain.ca/en/index.aspx"">Champlain, Township of</a>",Lower Tier,Prescott and Russell
"<a title=""Chapleau, Township of"" href=""http://www.chapleau.ca/portal/en/community/townshipofchapleau"">Chapleau, Township of</a>",Single Tier,Sudbury
"<a title=""Chapple, Township of"" href=""http://www.chapple.on.ca/"">Chapple, Township of</a>",Single Tier,Rainy River
"<a title=""Charlton and Dack, Municipality of"" href=""http://www.charltonanddack.com/"">Charlton and Dack, Municipality of</a>",Single Tier,Timiskaming
"<a title=""Chatham-Kent, Municipality of"" href=""http://www.chatham-kent.ca/default.htm"">Chatham-Kent, Municipality of</a>",Single Tier,Chatham-Kent
"<a title=""Chatsworth, Township of"" href=""http://www.chatsworth.ca/"">Chatsworth, Township of</a>",Lower Tier,Grey
"<a title=""Chisholm, Township of"" href=""http://www.chisholm.ca/"">Chisholm, Township of</a>",Single Tier,Nipissing
"<a title=""Clarence-Rockland, City of"" href=""http://www.clarence-rockland.com/"">Clarence-Rockland, City of</a>",Lower Tier,Prescott and Russell
"<a title=""Clarington, Municipality of"" href=""http://www.clarington.net/"">Clarington, Municipality of</a>",Lower Tier,Durham
"<a title=""Clearview, Township of"" href=""http://www.clearview.ca/"">Clearview, Township of</a>",Lower Tier,Simcoe
"<a title=""Cobalt, Town of"" href=""http://www.cobalt.ca/"">Cobalt, Town of</a>",Single Tier,Timiskaming
"<a title=""Cobourg, Town of"" href=""http://www.cobourg.ca/"">Cobourg, Town of</a>",Lower Tier,Northumberland
"<a title=""Cochrane, Town of"" href=""http://www.town.cochrane.on.ca/"">Cochrane, Town of</a>",Single Tier,Cochrane
"<a title=""Cockburn Island, Township of""></a>Cockburn Island, Township of",Single Tier,Manitoulin
"<a title=""Coleman, Township of"" href=""http://www.colemantownship.ca/"">Coleman, Township of</a>",Single Tier,Timiskaming
"<a title=""Collingwood, Town of"" href=""http://www.collingwood.ca/"">Collingwood, Town of</a>",Lower Tier,Simcoe
"<a title=""Conmee, Township of"" href=""http://www.conmee.com/"">Conmee, Township of</a>",Single Tier,Thunder Bay
"<a title=""Cornwall, City of"" href=""http://www.cornwall.ca/"">Cornwall, City of</a>",Single Tier,"Stormont, Dundas and Glengarry"
"<a title=""Cramahe, Township of"" href=""http://www.visitcramahe.ca/"">Cramahe, Township of</a>",Lower Tier,Northumberland
"<a title=""Dawn-Euphemia, Township of"" href=""http://www.dawneuphemia.ca/Pages/Dawn-Euphemia.aspx"">Dawn-Euphemia, Township of</a>",Lower Tier,Lambton
"<a title=""Dawson, Township of""></a>Dawson, Township of",Single Tier,Rainy River
"<a title=""Deep River, Town of"" href=""http://www.deepriver.ca/"">Deep River, Town of</a>",Lower Tier,Renfrew
"<a title=""Deseronto, Town of"" href=""http://www.deseronto.ca/"">Deseronto, Town of</a>",Lower Tier,Hastings
"<a title=""Dorion, Township of"" href=""http://www.doriontownship.ca/"">Dorion, Township of</a>",Single Tier,Thunder Bay
"<a title=""Douro-Dummer, Township of"" href=""http://www.dourodummer.on.ca/"">Douro-Dummer, Township of</a>",Lower Tier,Peterborough
"<a title=""Drummond/North Elmsley, Township of"" href=""http://www.drummondnorthelmsley.com/"">Drummond/North Elmsley, Township of</a>",Lower Tier,Lanark
"<a title=""Dryden, City of"" href=""http://www.dryden.ca/"">Dryden, City of</a>",Single Tier,Kenora
"<a title=""Dubreuilville, Township of"" href=""http://www.dubreuilville.ca/"">Dubreuilville, Township of</a>",Single Tier,Algoma
"<a title=""Dufferin, County of"" href=""http://www.dufferincounty.on.ca/"">Dufferin, County of</a>",Upper Tier,Dufferin
"<a title=""Durham, Regional Municipality of"" href=""http://www.durham.ca/"">Durham, Regional Municipality of</a>",Upper Tier,Durham
"<a title=""Dutton/Dunwich, Municipality of"" href=""http://www.duttondunwich.on.ca/"">Dutton/Dunwich, Municipality of</a>",Lower Tier,Elgin
"<a title=""Dysart et al, Municipality of"" href=""http://www.dysartetal.ca/"">Dysart et al, Municipality of</a>",Lower Tier,Haliburton
"<a title=""Ear Falls, Township of"" href=""http://www.ear-falls.com/"">Ear Falls, Township of</a>",Single Tier,Kenora
"<a title=""East Ferris, Township of"" href=""http://eastferris.ca/"">East Ferris, Township of</a>",Single Tier,Nipissing
"<a title=""East Garafraxa, Township of"" href=""http://www.amaranth-eastgary.ca/ta/a_home.htm"">East Garafraxa, Township of</a>",Lower Tier,Dufferin
"<a title=""East Gwillimbury, Town of"" href=""http://www.eastgwillimbury.ca/"">East Gwillimbury, Town of</a>",Lower Tier,York
"<a title=""East Hawkesbury, Township of"" href=""http://www.easthawkesbury.ca/"">East Hawkesbury, Township of</a>",Lower Tier,Prescott and Russell
"<a title=""East Zorra-Tavistock, Township of"" href=""http://www.twp.ezt.on.ca/"">East Zorra-Tavistock, Township of</a>",Lower Tier,Oxford
"<a title=""Edwardsburgh/Cardinal, Township of"" href=""http://www.edwardsburghcardinal.ca/"">Edwardsburgh/Cardinal, Township of</a>",Lower Tier,Leeds and Grenville
"<a title=""Elgin, County of"" href=""http://www.elgin-county.on.ca/"">Elgin, County of</a>",Upper Tier,Elgin
"<a title=""Elizabethtown-Kitley, Township of"" href=""http://www.elizabethtown-kitley.on.ca/"">Elizabethtown-Kitley, Township of</a>",Lower Tier,Leeds and Grenville
"<a title=""Elliot Lake, City of"" href=""http://www.cityofelliotlake.com/"">Elliot Lake, City of</a>",Single Tier,Algoma
"<a title=""Emo, Township of"" href=""http://www.twspemo.on.ca/"">Emo, Township of</a>",Single Tier,Rainy River
"<a title=""Englehart, Town of"" href=""http://www.englehart.ca/"">Englehart, Town of</a>",Single Tier,Timiskaming
"<a title=""Enniskillen, Township of"" href=""http://www.enniskillen.ca/"">Enniskillen, Township of</a>",Lower Tier,Lambton
"<a title=""Erin, Town of"" href=""http://www.erin.ca/"">Erin, Town of</a>",Lower Tier,Wellington
"<a title=""Espanola, Town of"" href=""http://www.town.espanola.on.ca/"">Espanola, Town of</a>",Single Tier,Sudbury
"<a title=""Essa, Township of"" href=""http://www.essatownship.on.ca/"">Essa, Township of</a>",Lower Tier,Simcoe
"<a title=""Essex, County of"" href=""http://www.countyofessex.on.ca/"">Essex, County of</a>",Upper Tier,Essex
"<a title=""Essex, Town of"" href=""http://www.townofessex.on.ca/"">Essex, Town of</a>",Lower Tier,Essex
"<a title=""Evanturel, Township of"" href=""http://www.evanturel.com/"">Evanturel, Township of</a>",Single Tier,Timiskaming
"<a title=""Faraday, Township of"" href=""http://www.faraday.ca/"">Faraday, Township of</a>",Lower Tier,Hastings
"<a title=""Fauquier-Strickland, Township of"" href=""http://www.fauquierstrickland.com/"">Fauquier-Strickland, Township of</a>",Single Tier,Cochrane
"<a title=""Fort Erie, Town of"" href=""http://www.forterie.on.ca/"">Fort Erie, Town of</a>",Lower Tier,Niagara
"<a title=""Fort Frances, Town of"" href=""http://www.fort-frances.com/"">Fort Frances, Town of</a>",Single Tier,Rainy River
"<a title=""French River, Municipality of"" href=""http://www.frenchriver.ca/"">French River, Municipality of</a>",Single Tier,Sudbury
"<a title=""Front of Yonge, Township of"" href=""http://www.frontofyonge.com/"">Front of Yonge, Township of</a>",Lower Tier,Leeds and Grenville
"<a title=""Frontenac, County of"" href=""http://frontenacislands.ca/"">Frontenac, County of</a>",Upper Tier,Frontenac
"<a title=""Frontenac Islands, Township of"" href=""http://municipality.frontenacislands.on.ca/"">Frontenac Islands, Township of</a>",Lower Tier,Frontenac
"<a title=""Gananoque, Town of"" href=""http://www.gananoque.ca/"">Gananoque, Town of</a>",Single Tier,Leeds and Grenville
"<a title=""Gauthier, Township of""></a>Gauthier, Township of",Single Tier,Timiskaming
"<a title=""Georgian Bay, Township of"" href=""http://www.gbtownship.ca/"">Georgian Bay, Township of</a>",Lower Tier,Muskoka
"<a title=""Georgian Bluffs, Township of"" href=""http://www.georgianbluffs.on.ca/"">Georgian Bluffs, Township of</a>",Lower Tier,Grey
"<a title=""Georgina, Town of"" href=""http://www.georgina.ca/"">Georgina, Town of</a>",Lower Tier,York
"<a title=""Gillies, Township of"" href=""http://www.gilliestownship.com/"">Gillies, Township of</a>",Single Tier,Thunder Bay
"<a title=""Goderich, Town of"" href=""http://www.goderich.ca/"">Goderich, Town of</a>",Lower Tier,Huron
"<a title=""Gordon/Barrie Island, Municipality of"" href=""http://gordontownship.manitoulin-link.com/index.html"">Gordon/Barrie Island, Municipality of</a>",Single Tier,Manitoulin
"<a title=""Gore Bay, Town of"" href=""http://www.gorebay.ca/"">Gore Bay, Town of</a>",Single Tier,Manitoulin
"<a title=""Grand Valley, Town of"" href=""http://www.eastluthergrandvalley.ca/"">Grand Valley, Town of</a>",Lower Tier,Dufferin
"<a title=""Gravenhurst, Town of"" href=""http://www.gravenhurst.ca/"">Gravenhurst, Town of</a>",Lower Tier,Muskoka
"<a title=""Greater Madawaska, Township of"" href=""http://www.greatermadawaska.com/"">Greater Madawaska, Township of</a>",Lower Tier,Renfrew
"<a title=""Greater Napanee, Town of"" href=""http://www.town.greaternapanee.on.ca/"">Greater Napanee, Town of</a>",Lower Tier,Lennox and Addington
"<a title=""Greater Sudbury, City of"" href=""http://www.city.greatersudbury.on.ca/"">Greater Sudbury, City of</a>",Single Tier,Sudbury
"<a title=""Greenstone, Municipality of"" href=""http://www.greenstone.ca/"">Greenstone, Municipality of</a>",Single Tier,Thunder Bay
"<a title=""Grey, County of"" href=""http://www.grey.ca/"">Grey, County of</a>",Upper Tier,Grey
