Municipality,Municipal status ,Geographic area 
"<a title=""Oliver Paipoonge, Municipality of"" href=""http://www.oliverpaipoonge.on.ca/"">Oliver Paipoonge, Municipality of</a>",Single Tier,Thunder Bay
"<a title=""Opasatika, Township of"" href=""http://opasatika.net/"">Opasatika, Township of</a>",Single Tier,Cochrane
"<a title=""Orangeville, Town of"" href=""http://www.orangeville.ca/"">Orangeville, Town of</a>",Lower Tier,Dufferin
"<a title=""Orillia, City of"" href=""http://www.orillia.ca/"">Orillia, City of</a>",Single Tier,Simcoe
"<a title=""Oro-Medonte, Township of"" href=""http://www.oro-medonte.ca/"">Oro-Medonte, Township of</a>",Lower Tier,Simcoe
"<a title=""Oshawa, City of"" href=""http://www.city.oshawa.on.ca/"">Oshawa, City of</a>",Lower Tier,Durham
"<a title=""Otonabee-South Monaghan, Township of"" href=""http://www.osmtownship.ca/"">Otonabee-South Monaghan, Township of</a>",Lower Tier,Peterborough
"<a title=""Ottawa, City of"" href=""http://ottawa.ca/en"">Ottawa, City of</a>",Single Tier,Ottawa
"<a title=""Owen Sound, City of"" href=""http://www.owensound.ca/"">Owen Sound, City of</a>",Lower Tier,Grey
"<a title=""Oxford, County of"" href=""http://www.oxfordcounty.ca/"">Oxford, County of</a>",Upper Tier,Oxford
"<a title=""Papineau-Cameron, Township of"" href=""http://www.papineaucameron.ca/"">Papineau-Cameron, Township of</a>",Single Tier,Nipissing
"<a title=""Parry Sound, Town of"" href=""http://www.townofparrysound.com/"">Parry Sound, Town of</a>",Single Tier,Parry Sound
"<a title=""Peel, Regional Municipality of"" href=""http://www.peelregion.ca/"">Peel, Regional Municipality of</a>",Upper Tier,Peel
"<a title=""Pelee, Township of"" href=""http://www.pelee.org/"">Pelee, Township of</a>",Single Tier,Essex
"<a title=""Pelham, Town of"" href=""http://www.pelham.ca/"">Pelham, Town of</a>",Lower Tier,Niagara
"<a title=""Pembroke, City of"" href=""http://www.pembrokeontario.com/"">Pembroke, City of</a>",Single Tier,Renfrew
"<a title=""Penetanguishene, Town of"" href=""http://www.penetanguishene.ca/"">Penetanguishene, Town of</a>",Lower Tier,Simcoe
"<a title=""Perry, Township of"" href=""http://www.townshipofperry.ca/"">Perry, Township of</a>",Single Tier,Parry Sound
"<a title=""Perth, Town of"" href=""http://www.perth.ca/en/index.aspx"">Perth, Town of</a>",Lower Tier,Lanark
"<a title=""Perth, County of"" href=""http://www.perthcounty.ca/"">Perth, County of</a>",Upper Tier,Perth
"<a title=""Perth East, Township of"" href=""http://www.pertheast.on.ca/"">Perth East, Township of</a>",Lower Tier,Perth
"<a title=""Perth South, Township of"" href=""http://www.perthsouth.ca/"">Perth South, Township of</a>",Lower Tier,Perth
"<a title=""Petawawa, Town of"" href=""http://www.petawawa.ca/"">Petawawa, Town of</a>",Lower Tier,Renfrew
"<a title=""Peterborough, County of"" href=""http://www.ptbocounty.ca/en/index.aspx"">Peterborough, County of</a>",Upper Tier,Peterborough
"<a title=""Peterborough, City of"" href=""http://www.peterborough.ca/"">Peterborough, City of</a>",Single Tier,Peterborough
"<a title=""Petrolia, Town of"" href=""http://town.petrolia.on.ca/"">Petrolia, Town of</a>",Lower Tier,Lambton
"<a title=""Pickering, City of"" href=""https://www.pickering.ca/en/index.aspx"">Pickering, City of</a>",Lower Tier,Durham
"<a title=""Pickle Lake, Township of"" href=""http://www.picklelake.ca/"">Pickle Lake, Township of</a>",Single Tier,Kenora
"<a title=""Plummer Additional, Township of"" href=""http://copperbaywebdesign.com/plummer_index.html"">Plummer Additional, Township of</a>",Single Tier,Algoma
"<a title=""Plympton-Wyoming, Town of"" href=""http://plympton-wyoming.com/"">Plympton-Wyoming, Town of</a>",Lower Tier,Lambton
"<a title=""Point Edward, Village of"" href=""http://www.villageofpointedward.com/"">Point Edward, Village of</a>",Lower Tier,Lambton
"<a title=""Port Colborne, City of"" href=""http://www.portcolborne.ca/"">Port Colborne, City of</a>",Lower Tier,Niagara
"<a title=""Port Hope, Municipality of"" href=""http://www.porthope.ca/"">Port Hope, Municipality of</a>",Lower Tier,Northumberland
"<a title=""Powassan, Municipality of"" href=""http://www.powassan.net/"">Powassan, Municipality of</a>",Single Tier,Parry Sound
"<a title=""Prescott, Town of"" href=""http://www.prescott.ca/"">Prescott, Town of</a>",Single Tier,Leeds and Grenville
"<a title=""Prescott and Russell, United Counties of"" href=""http://www.prescott-russell.on.ca/"">Prescott and Russell, United Counties of</a>",Upper Tier,Prescott and Russell
"<a title=""Prince, Township of"" href=""http://www.princetwp.ca/"">Prince, Township of</a>",Single Tier,Algoma
"<a title=""Prince Edward, County of"" href=""http://www.pecounty.on.ca/"">Prince Edward, County of</a>",Single Tier,Prince Edward
"<a title=""Puslinch, Township of"" href=""http://twp.puslinch.on.ca/"">Puslinch, Township of</a>",Lower Tier,Wellington
"<a title=""Quinte West, City of"" href=""http://www.quintewest.ca/"">Quinte West, City of</a>",Single Tier,Hastings
"<a title=""Rainy River, Town of"" href=""http://www.rainyriver.ca/"">Rainy River, Town of</a>",Single Tier,Rainy River
"<a title=""Ramara, Township of"" href=""http://www.ramara.ca/"">Ramara, Township of</a>",Lower Tier,Simcoe
"<a title=""Red Lake, Municipality of"" href=""http://www.red-lake.com/"">Red Lake, Municipality of</a>",Single Tier,Kenora
"<a title=""Red Rock, Township of"" href=""http://www.redrocktownship.com/"">Red Rock, Township of</a>",Single Tier,Thunder Bay
"<a title=""Renfrew, County of"" href=""http://www.countyofrenfrew.on.ca/"">Renfrew, County of</a>",Upper Tier,Renfrew
"<a title=""Renfrew, Town of"" href=""http://www.renfrewontario.com/"">Renfrew, Town of</a>",Lower Tier,Renfrew
"<a title=""Richmond Hill, City of"" href=""http://www.richmondhill.ca/"">Richmond Hill, City of</a>",Lower Tier,York
"<a title=""Rideau Lakes, Township of"" href=""http://www.twprideaulakes.on.ca/"">Rideau Lakes, Township of</a>",Lower Tier,Leeds and Grenville
"<a title=""Russell, Township of"" href=""http://www.russell.ca/"">Russell, Township of</a>",Lower Tier,Prescott and Russell
"<a title=""Ryerson, Township of"" href=""http://www.ryersontownship.ca/"">Ryerson, Township of</a>",Single Tier,Parry Sound
"<a title=""Sables-Spanish Rivers, Township of"" href=""http://www.sables-spanish.ca/"">Sables-Spanish Rivers, Township of</a>",Single Tier,Sudbury
"<a title=""Sarnia, City of"" href=""http://www.sarnia.ca/"">Sarnia, City of</a>",Lower Tier,Lambton
"<a title=""Saugeen Shores, Town of"" href=""http://www.saugeenshores.ca/"">Saugeen Shores, Town of</a>",Lower Tier,Bruce
"<a title=""Sault Ste. Marie, City of"" href=""http://www.city.sault-ste-marie.on.ca/"">Sault Ste. Marie, City of</a>",Single Tier,Algoma
"<a title=""Schreiber, Township of"" href=""http://www.schreiber.ca/"">Schreiber, Township of</a>",Single Tier,Thunder Bay
"<a title=""Scugog, Township of"" href=""http://www.township.scugog.on.ca/"">Scugog, Township of</a>",Lower Tier,Durham
"<a title=""Seguin, Township of"" href=""http://www.twp.seguin.on.ca/"">Seguin, Township of</a>",Single Tier,Parry Sound
"<a title=""Selwyn, Township of"" href=""http://www.selwyntownship.ca/en/index.asp"">Selwyn, Township of</a>",Lower Tier,Peterborough
"<a title=""Severn, Township of"" href=""http://www.townshipofsevern.com/"">Severn, Township of</a>",Lower Tier,Simcoe
"<a title=""Shelburne, Town of"" href=""http://www.townofshelburne.on.ca/"">Shelburne, Town of</a>",Lower Tier,Dufferin
"<a title=""Shuniah, Municipality of"" href=""http://www.shuniah.org/"">Shuniah, Municipality of</a>",Single Tier,Thunder Bay
"<a title=""Simcoe, County of"" href=""http://www.simcoe.ca/"">Simcoe, County of</a>",Upper Tier,Simcoe
"<a title=""Sioux Lookout, Municipality of"" href=""http://www.siouxlookout.ca/"">Sioux Lookout, Municipality of</a>",Single Tier,Kenora
"<a title=""Sioux Narrows-Nestor Falls, Township of"" href=""http://www.siouxnarrows-nestorfalls.ca/"">Sioux Narrows-Nestor Falls, Township of</a>",Single Tier,Kenora
"<a title=""Smiths Falls, Town of"" href=""http://www.smithsfalls.ca/"">Smiths Falls, Town of</a>",Single Tier,Lanark
"<a title=""Smooth Rock Falls, Town of"" href=""http://www.townofsmoothrockfalls.ca/"">Smooth Rock Falls, Town of</a>",Single Tier,Cochrane
"<a title=""South Algonquin, Township of"" href=""http://www.township.southalgonquin.on.ca/"">South Algonquin, Township of</a>",Single Tier,Nipissing
"<a title=""South Bruce, Municipality of"" href=""http://www.town.southbruce.on.ca/"">South Bruce, Municipality of</a>",Lower Tier,Bruce
"<a title=""South Bruce Peninsula, Town of"" href=""http://www.southbrucepeninsula.com/"">South Bruce Peninsula, Town of</a>",Lower Tier,Bruce
"<a title=""South Dundas, Municipality of"" href=""http://www.southdundas.com/"">South Dundas, Municipality of</a>",Lower Tier,"Stormont, Dundas and Glengarry"
"<a title=""South Frontenac, Township of"" href=""http://www.township.southfrontenac.on.ca/"">South Frontenac, Township of</a>",Lower Tier,Frontenac
"<a title=""South Glengarry, Township of"" href=""http://southglengarry.com/"">South Glengarry, Township of</a>",Lower Tier,"Stormont, Dundas and Glengarry"
"<a title=""South Huron, Municipality of"" href=""http://www.southhuron.ca/"">South Huron, Municipality of</a>",Lower Tier,Huron
"<a title=""South River, Village of"" href=""http://www.southriverontario.com/"">South River, Village of</a>",Single Tier,Parry Sound
"<a title=""South Stormont, Township of"" href=""http://southstormont.ca/"">South Stormont, Township of</a>",Lower Tier,"Stormont, Dundas and Glengarry"
"<a title=""South-West Oxford, Township of"" href=""http://www.swox.org/"">South-West Oxford, Township of</a>",Lower Tier,Oxford
"<a title=""Southgate, Township of"" href=""http://www.town.southgate.on.ca/"">Southgate, Township of</a>",Lower Tier,Grey
"<a title=""Southwest Middlesex, Municipality of"" href=""http://www.southwestmiddlesex.ca/"">Southwest Middlesex, Municipality of</a>",Lower Tier,Middlesex
"<a title=""Southwold, Township of"" href=""http://www.twp.southwold.on.ca/"">Southwold, Township of</a>",Lower Tier,Elgin
"<a title=""Spanish, Town of"" href=""http://www.townofspanish.com/"">Spanish, Town of</a>",Single Tier,Algoma
"<a title=""Springwater, Township of"" href=""http://www.springwater.ca/"">Springwater, Township of</a>",Lower Tier,Simcoe
"<a title=""St. Catharines, City of"" href=""http://www.stcatharines.ca/"">St. Catharines, City of</a>",Lower Tier,Niagara
"<a title=""St. Clair, Township of"" href=""http://www.twp.stclair.on.ca/"">St. Clair, Township of</a>",Lower Tier,Lambton
"<a title=""St. Joseph, Township of"" href=""http://www.stjosephtownship.com/"">St. Joseph, Township of</a>",Single Tier,Algoma
"<a title=""St. Marys, Town of"" href=""http://www.townofstmarys.com/"">St. Marys, Town of</a>",Single Tier,Perth
"<a title=""St. Thomas, City of"" href=""http://www.city.st-thomas.on.ca/"">St. Thomas, City of</a>",Single Tier,Elgin
"<a title=""St.-Charles, Municipality of"" href=""http://www.stcharlesontario.ca/"">St.-Charles, Municipality of</a>",Single Tier,Sudbury
"<a title=""Stirling-Rawdon, Township of"" href=""http://www.stirling-rawdon.com/"">Stirling-Rawdon, Township of</a>",Lower Tier,Hastings
"<a title=""Stone Mills, Township of"" href=""http://www.stonemills.com/"">Stone Mills, Township of</a>",Lower Tier,Lennox and Addington
"<a title=""Stormont, Dundas and Glengarry, United Counties of"" href=""http://www.sdg.on.ca/"">Stormont, Dundas and Glengarry, United Counties of</a>",Upper Tier,"Stormont, Dundas and Glengarry"
"<a title=""Stratford, City of"" href=""http://www.city.stratford.on.ca/"">Stratford, City of</a>",Single Tier,Perth
"<a title=""Strathroy-Caradoc, Municipality of"" href=""http://www.strathroy-caradoc.ca/"">Strathroy-Caradoc, Municipality of</a>",Lower Tier,Middlesex
"<a title=""Strong, Township of"" href=""http://www.strongtownship.com/"">Strong, Township of</a>",Single Tier,Parry Sound
"<a title=""Sundridge, Village of"" href=""http://www.sundridge.ca/"">Sundridge, Village of</a>",Single Tier,Parry Sound
"<a title=""Tarbutt, Township of"" href=""http://www.tarbutttownship.com/"">Tarbutt, Township of</a>",Single Tier,Algoma
"<a title=""Tay, Township of"" href=""http://www.tay.ca/"">Tay, Township of</a>",Lower Tier,Simcoe
"<a title=""Tay Valley, Township of"" href=""http://www.tayvalleytwp.ca/"">Tay Valley, Township of</a>",Lower Tier,Lanark
"<a title=""Tecumseh, Town of"" href=""http://www.tecumseh.ca/"">Tecumseh, Town of</a>",Lower Tier,Essex
"<a title=""Tehkummah, Township of"" href=""https://tehkummah.ca/"">Tehkummah, Township of</a>",Single Tier,Manitoulin
"<a title=""Temagami, Municipality of"" href=""http://www.temagami.ca/"">Temagami, Municipality of</a>",Single Tier,Nipissing
"<a title=""Temiskaming Shores, City of"" href=""http://www.temiskamingshores.ca/"">Temiskaming Shores, City of</a>",Single Tier,Timiskaming
"<a title=""Terrace Bay, Township of"" href=""http://www.terracebay.ca/"">Terrace Bay, Township of</a>",Single Tier,Thunder Bay
"<a title=""Thames Centre, Municipality of"" href=""http://www.thamescentre.on.ca/"">Thames Centre, Municipality of</a>",Lower Tier,Middlesex
"<a title=""The Archipelago, Township of"" href=""http://www.thearchipelago.on.ca/"">The Archipelago, Township of</a>",Single Tier,Parry Sound
"<a title=""The Blue Mountains, Town of"" href=""http://www.thebluemountains.ca/"">The Blue Mountains, Town of</a>",Lower Tier,Grey
"<a title=""The Nation Municipality"" href=""http://www.nationmun.ca/"">The Nation Municipality</a>",Lower Tier,Prescott and Russell
"<a title=""The North Shore, Township of"" href=""http://www.townshipofthenorthshore.ca/"">The North Shore, Township of</a>",Single Tier,Algoma
"<a title=""Thessalon, Town of"" href=""http://www.thessalon.ca/"">Thessalon, Town of</a>",Single Tier,Algoma
"<a title=""Thornloe, Village of""></a>Thornloe, Village of",Single Tier,Timiskaming
"<a title=""Thorold, City of"" href=""http://www.thorold.com/"">Thorold, City of</a>",Lower Tier,Niagara
"<a title=""Thunder Bay, City of"" href=""http://www.thunderbay.ca/"">Thunder Bay, City of</a>",Single Tier,Thunder Bay
"<a title=""Tillsonburg, Town of"" href=""http://www.town.tillsonburg.on.ca/"">Tillsonburg, Town of</a>",Lower Tier,Oxford
"<a title=""Timmins, City of"" href=""http://www.timmins.ca/"">Timmins, City of</a>",Single Tier,Cochrane
"<a title=""Tiny, Township of"" href=""http://www.township.tiny.on.ca/"">Tiny, Township of</a>",Lower Tier,Simcoe
"<a title=""Toronto, City of"" href=""http://www.toronto.ca/"">Toronto, City of</a>",Single Tier,Toronto
"<a title=""Trent Hills, Municipality of"" href=""http://www.trenthills.ca/"">Trent Hills, Municipality of</a>",Lower Tier,Northumberland
"<a title=""Trent Lakes, Municipality of"" href=""http://www.trentlakes.ca/"">Trent Lakes, Municipality of</a>",Lower Tier,Peterborough
"<a title=""Tudor and Cashel, Township of"" href=""http://www.tudorandcashel.com/"">Tudor and Cashel, Township of</a>",Lower Tier,Hastings
"<a title=""Tweed, Municipality of"" href=""http://www.tweed.ca/"">Tweed, Municipality of</a>",Lower Tier,Hastings
"<a title=""Tyendinaga, Township of"" href=""http://www.tyendinagatownship.com/"">Tyendinaga, Township of</a>",Lower Tier,Hastings
"<a title=""Uxbridge, Township of"" href=""http://www.town.uxbridge.on.ca/"">Uxbridge, Township of</a>",Lower Tier,Durham
"<a title=""Val Rita-Harty, Township of"" href=""http://valharty.ca/en/"">Val Rita-Harty, Township of</a>",Single Tier,Cochrane
"<a title=""Vaughan, City of"" href=""http://www.city.vaughan.on.ca/"">Vaughan, City of</a>",Lower Tier,York
"<a title=""Wainfleet, Township of"" href=""http://www.wainfleet.ca/"">Wainfleet, Township of</a>",Lower Tier,Niagara
"<a title=""Warwick, Township of"" href=""http://www.warwicktownship.ca/"">Warwick, Township of</a>",Lower Tier,Lambton
"<a title=""Wasaga Beach, Town of"" href=""http://www.wasagabeach.com/"">Wasaga Beach, Town of</a>",Lower Tier,Simcoe
"<a title=""Waterloo, Regional Municipality of"" href=""http://www.region.waterloo.on.ca/"">Waterloo, Regional Municipality of</a>",Upper Tier,Waterloo
"<a title=""Waterloo, City of"" href=""http://www.city.waterloo.on.ca/"">Waterloo, City of</a>",Lower Tier,Waterloo
"<a title=""Wawa, Municipality of"" href=""http://www.wawa.cc/"">Wawa, Municipality of</a>",Single Tier,Algoma
"<a title=""Welland, City of"" href=""http://www.welland.ca/"">Welland, City of</a>",Lower Tier,Niagara
"<a title=""Wellesley, Township of"" href=""http://www.township.wellesley.on.ca/"">Wellesley, Township of</a>",Lower Tier,Waterloo
"<a title=""Wellington, County of"" href=""http://www.wellington.ca/"">Wellington, County of</a>",Upper Tier,Wellington
"<a title=""Wellington North, Township of"" href=""http://www.wellington-north.com/"">Wellington North, Township of</a>",Lower Tier,Wellington
"<a title=""West Elgin, Municipality of"" href=""http://www.westelgin.net/"">West Elgin, Municipality of</a>",Lower Tier,Elgin
"<a title=""West Grey, Municipality of"" href=""http://www.westgrey.com/"">West Grey, Municipality of</a>",Lower Tier,Grey
"<a title=""West Lincoln, Township of"" href=""http://www.westlincoln.ca/"">West Lincoln, Township of</a>",Lower Tier,Niagara
"<a title=""West Nipissing, Municipality of"" href=""http://www.westnipissing.ca/"">West Nipissing, Municipality of</a>",Single Tier,Nipissing
"<a title=""West Perth, Municipality of"" href=""http://www.westperth.com/"">West Perth, Municipality of</a>",Lower Tier,Perth
"<a title=""Westport, Village of"" href=""http://www.village.westport.on.ca/"">Westport, Village of</a>",Lower Tier,Leeds and Grenville
"<a title=""Whitby, Town of"" href=""http://www.whitby.ca/en/"">Whitby, Town of</a>",Lower Tier,Durham
"<a title=""Whitchurch-Stouffville, Town of"" href=""http://www.townofws.com/"">Whitchurch-Stouffville, Town of</a>",Lower Tier,York
"<a title=""White River, Township of"" href=""http://www.whiteriver.ca/"">White River, Township of</a>",Single Tier,Algoma
"<a title=""Whitestone, Municipality of"" href=""http://www.whitestone.ca/"">Whitestone, Municipality of</a>",Single Tier,Parry Sound
"<a title=""Whitewater Region, Township of"" href=""http://www.whitewaterregion.ca/"">Whitewater Region, Township of</a>",Lower Tier,Renfrew
"<a title=""Wilmot, Township of"" href=""http://www.wilmot.ca/"">Wilmot, Township of</a>",Lower Tier,Waterloo
"<a title=""Windsor, City of"" href=""http://www.citywindsor.ca/"">Windsor, City of</a>",Single Tier,Essex
"<a title=""Wollaston, Township of"" href=""http://www.township.wollaston.on.ca/"">Wollaston, Township of</a>",Lower Tier,Hastings
"<a title=""Woodstock, City of"" href=""http://www.city.woodstock.on.ca/"">Woodstock, City of</a>",Lower Tier,Oxford
"<a title=""Woolwich, Township of"" href=""http://www.woolwich.ca/"">Woolwich, Township of</a>",Lower Tier,Waterloo
"<a title=""York, Regional Municipality of"" href=""http://www.york.ca/"">York, Regional Municipality of</a>",Upper Tier,York
"<a title=""Zorra, Township of"" href=""http://www.zorra.on.ca/"">Zorra, Township of</a>",Lower Tier,Oxford
